Name,Image Link,District,Homepage,Contact Link,Capitol Office,District Office,Vote
"Steven ""Steve"" Choi",https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/2016%2520New%2520Member%2520Headshots%2520Choi-268_0.jpg?itok=__ZLML3Q,37,https://sr37.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD37&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7130, Sacramento, CA 95814-4900; (916) 651-4037","3200 El Camino Real, Suite 230, Irvine, CA 92602; (714) 544-1035",N
Dave Cortese,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/CORTESE%252C%2520DAVE%2520%2528D-15%2529_6.jpg?itok=Yts7GSsl,15,https://sd15.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD15&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7520, Sacramento, CA 95814-4900; (916) 651-4015","1155 Meridian Avenue, Suite 100, San Jose, CA 95125; (408) 723-4154",NV
Megan Dahle,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/Senator%2520Megan%2520Dahle%2520Headshot_0.jpg?itok=mgnZtlsS,01,https://sr01.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD01&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7230, Sacramento, CA 95814-4900; (916) 651-4001","1320 Yuba Street, Suite 102, Redding, CA 96001; (530) 224-7001; 2635 Forest Avenue, Suite 110, Chico, CA 95928; (530) 879-7424; 120 North Auburn Street, Suite 214, Grass Valley, CA 95945; (530) 271-7412",Y
Maria Elena Durazo,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/DURAZO%252C%2520M%2520%2528D-26%2529_7.jpg?itok=vd0Cybg-,26,https://sd26.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD26&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7530, Sacramento, CA 95814-4900; (916) 651-4026","1808 West Sunset Boulevard, Los Angeles, CA 90026; (213) 483-9300",N
Lena Gonzalez,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/GONZALEZ%252C%2520LENA%2520%2528D-33%2529_6.jpg?itok=X3xfg9qe,33,https://sd33.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD33&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 8610, Sacramento, CA 95814-4900; (916) 651-4033","3939 Atlantic Avenue, Suite 107, Long Beach, CA 90807; (562) 256-7921; 3355 East Gage Avenue, Huntington Park, CA 90255; (323) 277-4560",Y
Tim Grayson,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/Portrait%2520Grayson_0.jpg?itok=tGu-6A6s,09,https://sd09.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD09&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7250, Sacramento, CA 95814-4900; (916) 651-4009","51 Moraga Way, Suite 2, Orinda, CA 94563; (925) 258-1176",Y
Shannon Grove,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/GROVE%252C%2520SHANNON%2520%2528R-12%2529_6.jpg?itok=KjrlEakT,12,https://sr12.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD12&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7150, Sacramento, CA 95814-4900; (916) 651-4012","5701 Truxtun Avenue, Suite 150, Bakersfield, CA 93309; (661) 323-0443; 567 West Shaw Avenue, Suite A-3, Fresno, CA 93704; (559) 243-8580",Y
Melissa Hurtado,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/HURTADO%252C%2520MELISSA%2520%2528D-16%2529_6.jpg?itok=VF6ShqaA,16,https://sd16.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD16&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 6510, Sacramento, CA 95814-4900; (916) 651-4016","5201 California Avenue, Suite 220, Bakersfield, CA 93309; (661) 395-2620; 411 East Kern Avenue, Tulare, CA 93274; (559) 685-1202; 339 West D Street, Suite E, Lemoore, CA 93245; (559) 924-1201",Y
Brian W. Jones,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/Brian%2520Jones%2520Headshot%2520%2528Main%2529_0_2.jpg?itok=NGByySw8,40,https://sr40.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD40&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7640, Sacramento, CA 95814-4900; (916) 651-4040","10650 Treena Street, Suite 110, San Diego, CA 92131; (858) 547-3818; 720 North Broadway, Suite 110, Escondido, CA 92025; (760) 796-4655",N
John Laird,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/LAIRD%252C%2520JOHN%2520%2528D-17%2529_6.jpg?itok=wmob19vV,17,https://sd17.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD17&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 8720, Sacramento, CA 95814-4900; (916) 651-4017","99 Pacific Street, Suite 575 F, Monterey, CA 93940; (831) 657-6315; 1026 Palm Street, Suite 201, San Luis Obispo, CA 93401; (805) 549-3784; 701 Ocean Street, Suite 318A, Santa Cruz, CA 95060; (831) 425-0401",Y
Monique Limón,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/LIMO%25CC%2581N%252C%2520MONIQUE%2520%2528D-19%2529_3.jpg?itok=vgg6NSrX,21,https://sd21.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD21&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7610, Sacramento, CA 95814-4900; (916) 651-4021","300 E. Esplanade Drive, Suite 430, Oxnard, CA 93036; (805) 988-1940; 222 E. Carrillo Street, Suite 309, Santa Barbara, CA 93101; (805) 965-0862; 1111 S. Broadway, Suite 101, Santa Maria, CA 93454; (805) 346-1803",NV
Mike McGuire,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/MCGUIRE%252C%2520MIKE%2520%2528D-02%2529_6.jpg?itok=u5s8q3Mq,02,https://sd02.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD02&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 8518, Sacramento, CA 95814-4900; (916) 651-4002","3501 Civic Center Drive, Suite 425, San Rafael, CA 94903; (415) 479-6612; 50 D Street, Suite 120A, Santa Rosa, CA 95404; (707) 576-2771; 200 South School Street, Suite F, Ukiah, CA 95482; (707) 468-8914; 1080 Mason Mall, Suite 4, Crescent City, CA 95531; (707) 464-1255; 1036 5th Street, Suite D, Eureka, CA 95501; (707) 445-6508",Y
Jerry McNerney,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/McNerney%2520new%2520headshot%25203_0.jpg?itok=fTaplfQN,05,https://sd05.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD05&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 6640, Sacramento, CA 95814-4900; (916) 651-4005","2291 West March Lane, Suite B200, Stockton, CA 95207; (209) 472-9535",Y
Caroline Menjivar,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/MENJIVAR%252C%2520CAROLINE%2520%2528D-20%2529_6.jpg?itok=T1Zf7-yO,20,https://sd20.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD20&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 6630, Sacramento, CA 95814-4900; (916) 651-4020","6150 Van Nuys Boulevard, Suite 400, Van Nuys, CA 91401; (818) 901-5588",N
Roger Niello,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/Niello%252C%2520Roger%2520%2528R-6%2529_6.jpg?itok=h99mtvUW,06,https://sr06.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD06&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7110, Sacramento, CA 95814-4900; (916) 651-4006","2200A Douglas Boulevard, Suite 100, Roseville, CA 95661; (916) 772-0571; 2729 Prospect Park Drive, Suite 130, Rancho Cordova, CA 95670; (916) 464-3980",N
Rosilicie Ochoa Bogh,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/OCHOA%2520BOGH%252C%2520ROSILICIE%2520%2528R-23%2529_4.jpeg?itok=0ygOP4nx,19,https://sr19.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD19&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7220, Sacramento, CA 95814-4900; (916) 651-4019","1758 Orange Tree Lane, Suite B, Redlands, CA 92374; (909) 335-0271",Y
Steve Padilla,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/PADILLA%252C%2520STEVE%2520%2528D-18%2529_6.jpg?itok=0JbVfLJL,18,https://sd18.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD18&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7630, Sacramento, CA 95814-4900; (916) 651-4018","1224 State Street, Suite D, El Centro, CA 92243; (760) 335-3442; 780 Bay Boulevard, Suite 204, Chula Vista, CA 91910; (619) 409-7690; 82013 Dr. Carreon Boulevard, Suite J, Indio, CA 92201; (760) 398-6442",Y
Sasha Renée Pérez,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/Senator%2520Perez_0.jpg?itok=1Vr3yUwy,25,https://sd25.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD25&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 6720, Sacramento, CA 95814-4900; (916) 651-4025","215 North Marengo Avenue, Suite 380, Pasadena, CA 91101; (626) 304-1086",Y
Eloise Gómez Reyes,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/Portrait%2520Reyes%25201_0.jpg?itok=jBjDd2n7,29,https://sd29.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD29&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7210, Sacramento, CA 95814-4900; (916) 651-4029","301 E. Vanderbilt Way, Suite 400, San Bernardino, CA 92408; (909) 888-5360",NV
Laura Richardson,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/Portrait%2520Richardson_0.jpg?itok=KiFFYSr9,35,https://sd35.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD35&amp;inframe=N,"Capitol Office, 1021 O Street, Room 7340, Sacramento, CA 95814-4900; (916) 651-4035","One West Manchester Boulevard, Suite 710, Inglewood, CA 90301; (310) 412-6120; 970 West 190th Street, Suite 310, Torrance, CA 90502; (310) 217-4728",Y
Susan Rubio,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/RUBIO%252C%2520SUSAN%2520%2528D-22%2529_6.jpg?itok=cZKtqkWd,22,https://sd22.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD22&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 8710, Sacramento, CA 95814-4900; (916) 651-4022","100 South Vincent Avenue, Suite 401, West Covina, CA 91790; (626) 430-2499; 1520 North Mountain Avenue, Building E, Suite 201, Ontario, CA 91762; (909) 460-6064",NV
Kelly Seyarto,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/SEYARTO%252C%2520KELLY%2520%2528R-32%2529_4.jpg?itok=feaKyYNC,32,https://sr32.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD32&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7120, Sacramento, CA 95814-4900; (916) 651-4032","24640 Jefferson Avenue, Suite 202, Murrieta, CA 92562; (951) 894-2220; 4740 Green River Road, Suite 212, Corona, CA 92878; (951) 280-1260",N
Lola Smallwood-Cuevas,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/SMALLWOOD-CUEVAS%252C%2520LOLA%2520%2528D-28%2529_6.jpg?itok=gYECQxIF,28,https://sd28.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD28&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 6530, Sacramento, CA 95814-4900; (916) 651-4028","700 Exposition Park Drive, Los Angeles, CA 90037; (213) 745-6656",NV
Henry Stern,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/STERN%252C%2520HENRY%2520%2528D-27%2529_6.jpg?itok=8Qenk5-W,27,https://sd27.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD27&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7710, Sacramento, CA 95814-4900; (916) 651-4027","5016 North Parkway Calabasas, Suite 102, Calabasas, CA 91302; (818) 876-3352",N
Tony Strickland,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/Senator%2520Strickland%2520Headshot%2520SD36_1.jpg?itok=S8m8dnKL,36,https://sr36.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD36&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 6730, Sacramento, CA 95814-4900; (916) 651-4036","301 Main Street, Suite 212, Huntington Beach, CA 92648; (714) 374-4000",N
Thomas Umberg,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/UMBERG%252C%2520TOM%2520%2528D-34%2529_6.jpg?itok=4FDVG6vR,34,https://sd34.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD34&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7510, Sacramento, CA 95814-4900; (916) 651-4034","1000 East Santa Ana Boulevard, Suite 220B, Santa Ana, CA 92701; (714) 558-3785",Y
Suzette Martinez Valladares,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/Valladares%2520Headshot%2520update.JPG?itok=aZU-Rk4p,23,https://sr23.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD23&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7140, Sacramento, CA 95814-4900; (916) 651-4023","42505 10th Street W., Suite 109, Lancaster, CA 93534; (661) 729-6232; 25060 Avenue Stanford, Suite 130, Valencia, CA 91355; (661) 257-1204; 11600 Air Expressway, Adelanto, CA 92301; (760) 249-2911",N
Aisha Wahab,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/WAHAB%252C%2520AISHA%2520%2528D-10%2529_6.jpg?itok=YKlg_7ti,10,https://sd10.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD10&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 8530, Sacramento, CA 95814-4900; (916) 651-4410",N/A,N
Akilah Weber Pierson,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/Portrait%2520Weber_0.jpg?itok=me7BVP3N,39,https://sd39.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD39&amp;inframe=N,"Capitol Office, 1021 O Street, Room 7310, Sacramento, CA 95814-4900; (916) 651-4039","7575 Metropolitan Drive, Suite 100, San Diego, CA 92108; (619) 688-6700",Y
Scott Wiener,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/WIENER%252C%2520SCOTT%2520%2528D-11%2529_6.jpg?itok=SKZVCXEe,11,https://sd11.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD11&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 8620, Sacramento, CA 95814-4900; (916) 651-4011","455 Golden Gate Avenue, Suite 14800, San Francisco, CA 94102; (415) 557-1300",Y
